Text code	Text
T1	Kuzakubakho izulu elisibakeleyo ekupheleni, elithe gqabagqaba ngamafu esiphakathini kunye nelimathumb' antaka ekupheleni kwemini
T2	Kuzakubakho izulu elisibakeleyo jikelele imini yonke
T3	Kuzakubakho izulu elisibakeleyo ekuqaleni nasesiphakathini semini, nangona liyakujika kubekho elimathumb' antaka ekupheleni
T4	Kuzakubakho izulu elisibakeleyo ekuqaleni kwemini, nangona liyakujika kubekho elithe gqabagqaba ngamafu ekupheleni nasesiphakathini
T5	Kuzakubakho izulu elihle kulemini izayo, nangona ngamanye amaxesha kuzakubakho izulu elimathumb' antaka
T6	Silindele utshintsho-ntsitshwano lwezulu elisibakeleyo nelihle kwezintsuku zizayo, nangona emaxesheni athile kuzakubakho izulu elithe gqabagqaba ngamafu
T7	Kuzakubakho izulu elihle kubekho namaxesha apho kukho izulu elimathumb' antaka okanye elisibakeleyo
T8	Iqondo eliphantsi lemozulu liphezulu kakhulu kwaye neqondo eliphezulu liphantsi kakhulu xa lithelekiswa netempritsha elindelekileyo kwelixesha enyakeni, kodwa ndawo yonke itemprisha ihla ngamandla
T9	Iqondo eliphantsi lemozulu liphantsi kakhulu kwaye neqondo eliphezulu liphantsi kakhulu xa lithelekiswa netempritsha elindelekileyo kwelixesha enyakeni, kodwa ndawo yonke itemprisha izakunyuka isehla
T10	Iqondo eliphantsi lemozulu liphantsi kakhulu kwaye iqondo eliphezulu liphantsi kakhulu xa lithelekiswa nethemprisha elindelekileyo kwelixesha enyakeni, iqondo eliphantsi lona linyuka ngamandla ekuhambeni kwexesha
T11	Iqondo eliphantsi lemozulu liphezulu kakhulu kwaye iqondo eliphezulu liphantsi kakhulu xa lithelekiswa nethempritsha elindelekileyo kwelixesha enyakeni, nangona amaqondo azakunyuka esehla ekuhambeni kwexesha
T12	Iqondo eliphantsi lemozulu liphantsi kakhulu kwaye iqondo eliphezulu liphezulu kakhulu xa lithelekiswa nethemprisha elindelekileyo kwelixesha enyakeni, kwaye iqondo eliphezulu linyuka kancinci-kancinci ekuhambeni kwexesha
T13	Iqondo eliphantsi lemozulu liphezulu kakhulu kwaye iqondo eliphezulu liphantsi kakhulu xa lithelekiswa nethemprisha elindelekileyo kwelixesha enyakeni, nangona amaqondo azakunyuka esehla
T14	Amaqondo obushushu azakuba ephantsi kakhulu ngelixesha enyakeni, kodwa ndawo yonke itemprisha inyuka ngamandla
T15	Amaqondo obushushu azakuba ephantsi kakhulu ngelixesha enyakeni, nangona amaqondo azakunyuka esehla
T16	Amaqondo obushushu azakuba ephezulu kakhulu ngelixesha enyakeni, iqondo eliphantsi lona lihla kancinci
T17	Amaqondo obushushu azakuba ephantsi kakhulu ngelixesha enyakeni, nangona amaqondo awazokunyuka esehla
T18	Amaqondo obushushu azakuba ephantsi kakhulu ngelixesha enyakeni, kwaye amaqondo aphezulu anyuka kancinci ekuhambeni kwexesha
T19	Amaqondo obushushu azakuba ephantsi kakhulu ngelixesha enyakeni, nangona amaqondo awazokunyuka esehla ekuhambeni kwexesha
T20	Silindele umoya onamandla amakhulu ukusuka emantla ngomvulo
T21	Silindele imimoya ezakuba namandla amakhulu ukusuka emzantsi-mpuma ngomvulo
T22	Silindele imimoya ezakuba namandla amakhulu ukusuka emantla-ntshona ukuqala ngolwesithathu, itshintse ibe namandla ukusuka emntla-mpuma ngolwesihlanu
T23	Imo yesibhakabhaka izokuhluka kakhulu kwimini yonke
